lid,lat,lon,rfc,minor,moderate,major,code,date_produced
IDBO2,33.941111,94.758333,ABRFC,0.380600,0.155100,0.050000,1,1/26/2023
IDPK1,37.223600,95.677500,ABRFC,0.095600,0.050000,0.050000,1,1/26/2023
INGA4,33.551944,94.041111,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
INOO2,36.164722,95.618889,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
IOLK1,37.922200,95.427500,ABRFC,0.064400,0.050000,0.050000,1,1/26/2023
JNKO2,36.010389,95.993861,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
JOPM7,37.020580,94.513750,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
KENO2,36.926667,102.958611,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
KIOK1,37.038611,98.470278,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
KNGO2,35.870600,97.932500,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
KNRO2,35.861100,97.924170,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
KNSK1,37.925833,99.375278,ABRFC,0.083700,0.050000,0.050000,1,4/18/2016
KNSO2,36.186389,94.706667,ABRFC,0.121500,0.050000,0.050000,1,1/26/2023
KTNT2,35.473056,100.120556,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LAPC2,38.034222,103.201417,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LCBT2,36.238611,100.275278,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LCVN5,35.945000,105.255833,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LEDC2,39.249000,106.348111,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LEPO2,36.851111,95.585833,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LGNN5,35.344444,103.389722,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LITA4,34.749722,92.269167,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LMAC2,38.105792,102.618206,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LNDO2,34.818100,97.598300,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LRYK1,38.076944,95.634167,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LXHC2,37.990556,103.531944,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
LYNK1,38.308333,98.193055,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
MACK1,37.871277,98.875899,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
MDKK1,37.561666,97.852778,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
MGMO2,34.858394,99.508701,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
MKGO2,35.769444,95.296944,ABRFC,0.077100,0.050000,0.050000,1,1/26/2023
MLBA4,35.576944,94.015278,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
MORA4,35.126944,92.731667,ABRFC,0.202300,0.050000,0.050000,1,1/26/2023
MULK1,37.475500,97.261300,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
NEOK1,38.368056,96.000000,ABRFC,0.057700,0.053800,0.050000,1,1/26/2023
NKHO2,34.963401,97.899486,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
NPTC2,38.184170,104.173297,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
NRCO2,35.194444,97.484722,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
