lid,lat,lon,rfc,minor,moderate,major,code,date_produced
HOLL1,30.503611,90.677222,LMRFC,0.390000,0.050000,0.050000,1,1/24/2023
HSPN7,35.889722,82.821111,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
IMBA4,36.205278,91.171944,LMRFC,0.270000,0.110000,0.050000,1,1/24/2023
IRCT1,35.024167,87.578889,LMRFC,0.330000,0.090000,0.050000,1,1/24/2023
JACM6,32.281380,90.178880,LMRFC,0.730000,0.200000,0.050000,2,1/24/2023
JAMM7,37.006670,93.364720,LMRFC,0.140000,0.050000,0.050000,1,1/24/2023
JEFT2,32.777778,94.357222,LMRFC,0.820000,0.110000,0.050000,2,1/24/2023
JFET2,32.749444,94.498611,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
JFFT2,32.712778,94.345833,LMRFC,0.400000,0.110000,0.050000,1,1/24/2023
JKNT1,35.617500,88.852222,LMRFC,0.310000,0.050000,0.050000,1,1/24/2023
JNSV2,36.661944,83.095000,LMRFC,0.080000,0.050000,0.050000,1,1/24/2023
JSNM6,32.397800,90.064700,LMRFC,0.050000,0.050000,0.050000,1,7/7/2015
JUDA4,35.267778,91.639444,LMRFC,0.190000,0.100000,0.050000,1,1/24/2023
KDRL1,30.502500,92.915556,LMRFC,0.800000,0.230000,0.050000,2,1/24/2023
KENL1,30.937500,90.490278,LMRFC,0.090000,0.050000,0.050000,1,1/24/2023
KLNM6,30.387222,89.441389,LMRFC,0.060000,0.050000,0.050000,1,1/24/2023
KRZL1,30.568889,91.761389,LMRFC,0.367000,0.183000,0.033000,1,2/19/2014
KSCM6,33.032222,89.577778,LMRFC,0.550000,0.050000,0.050000,2,1/24/2023
LBBL1,32.702370,93.510450,LMRFC,0.770000,0.120000,0.050000,2,1/24/2023
LBUL1,32.328300,93.431100,LMRFC,0.630000,0.200000,0.060000,2,1/24/2023
LBVT1,35.812222,87.778889,LMRFC,0.330000,0.110000,0.050000,1,1/24/2023
LCAL1,32.740800,92.903100,LMRFC,0.290000,0.120000,0.050000,1,1/24/2023
LCHL1,30.253611,93.218056,LMRFC,0.930000,0.060000,0.050000,2,1/24/2023
LCOL1,32.697778,93.957778,LMRFC,0.190000,0.050000,0.050000,1,1/24/2023
LCRA4,35.820833,90.432500,LMRFC,0.210000,0.050000,0.050000,1,1/24/2023
LDBL1,32.713290,92.340760,LMRFC,0.420000,0.290000,0.070000,1,1/24/2023
LEKM6,31.148611,88.548056,LMRFC,0.950000,0.340000,0.070000,2,1/24/2023
LMGM6,34.180556,90.215278,LMRFC,0.120000,0.050000,0.050000,1,1/24/2023
LOGM6,33.975833,90.257778,LMRFC,0.750000,0.140000,0.050000,2,1/24/2023
LPOL1,30.930556,90.673333,LMRFC,0.400000,0.050000,0.050000,1,1/24/2023
LURM6,31.680800,89.115500,LMRFC,0.900000,0.420000,0.100000,2,1/24/2023
LYMM6,30.488333,89.035833,LMRFC,0.690000,0.140000,0.050000,2,1/24/2023
MAGL1,30.534722,90.980556,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
MARN7,35.786389,82.660833,LMRFC,0.100000,0.050000,0.050000,1,1/24/2023
MCGL1,29.696389,91.210833,LMRFC,0.667000,0.183000,0.033000,2,2/19/2014
MCLM6,31.107414,88.808333,LMRFC,0.890000,0.530000,0.110000,3,1/24/2023
MEMT1,35.123056,90.077500,LMRFC,0.150000,0.050000,0.050000,1,1/24/2023
MHOM6,34.736390,90.448330,LMRFC,0.260000,0.150000,0.050000,1,1/24/2023
MKSM6,34.261111,90.266944,LMRFC,0.230000,0.140000,0.050000,1,1/24/2023
MLUL1,32.500278,92.119722,LMRFC,0.720000,0.660000,0.510000,4,1/24/2023
MLVL1,30.690556,91.736111,LMRFC,0.367000,0.183000,0.033000,1,2/19/2014
MNEL1,32.597400,93.331900,LMRFC,0.750000,0.240000,0.060000,2,1/24/2023
MNLM6,30.662222,89.686111,LMRFC,0.820000,0.470000,0.220000,2,1/24/2023
MONL1,30.686111,90.643056,LMRFC,0.350000,0.050000,0.050000,1,1/24/2023
MRML1,30.190000,92.590556,LMRFC,0.820000,0.160000,0.050000,2,1/24/2023
MRRM6,30.978056,88.726944,LMRFC,0.820000,0.360000,0.050000,2,1/24/2023
